"Date","Time (GMT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2025/03/01","00:00","1","325","1.3","15.5","1014.4","-","-"
"2025/03/01","01:00","2.2","251","2.7","15","1014.5","-","-"
"2025/03/01","02:00","3","277","3.6","14.2","1014.7","-","-"
"2025/03/01","03:00","0.8","172","1.7","13.9","1014.7","-","-"
"2025/03/01","04:00","1.2","185","1.7","14","1014.4","-","-"
"2025/03/01","05:00","1.3","284","2.2","13.9","1014.7","-","-"
"2025/03/01","06:00","1.9","297","3.3","13.7","1014.5","-","-"
"2025/03/01","07:00","1.3","291","1.6","13.7","1014.4","-","-"
"2025/03/01","08:00","2.5","236","3.2","13.8","1014.5","-","-"
"2025/03/01","09:00","3.4","246","3.9","13.9","1014.3","-","-"
"2025/03/01","10:00","3.7","264","4.8","13.9","1014.2","-","-"
"2025/03/01","11:00","2.7","275","3.6","13.8","1014","-","-"
"2025/03/01","12:00","2.3","278","2.5","13.6","1014","-","-"
"2025/03/01","13:00","2.6","284","3.6","13.4","1014","-","-"
"2025/03/01","14:00","2.8","259","3.9","13.3","1014.3","-","-"
"2025/03/01","15:00","1.8","260","2.2","13.3","1014.6","-","-"
"2025/03/01","16:00","1.4","294","1.8","13.9","1015.3","-","-"
"2025/03/01","17:00","1.6","263","2.3","13.7","1015.7","-","-"
"2025/03/01","18:00","4.1","267","4.9","13.6","1016.1","-","-"
"2025/03/01","19:00","3.7","261","4.3","13.7","1016.2","-","-"
"2025/03/01","20:00","2.3","254","3","13.9","1015.8","-","-"
"2025/03/01","21:00","4.2","250","4.8","14","1015.9","-","-"
"2025/03/01","22:00","4.5","213","6","13.8","1016.8","-","-"
"2025/03/01","23:00","1.7","215","2.7","14.7","1016.5","-","-"
"2025/03/02","00:00","4.7","242","5.2","14.1","1016.9","-","-"
"2025/03/02","01:00","3.4","225","4.8","14.2","1017.3","-","-"
"2025/03/02","02:00","1.5","132","2.1","14.1","1017.3","-","-"
