"Date","Time (GMT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2025/02/01","00:00","3","337","3.7","13.4","1022","-","-"
"2025/02/01","01:00","4.3","320","5.4","13.2","1022.4","-","-"
"2025/02/01","02:00","5.9","328","6.5","13.1","1022.9","-","-"
"2025/02/01","03:00","5.3","330","6.4","13.1","1023.2","-","-"
"2025/02/01","04:00","4","353","4.4","13.2","1022.9","-","-"
"2025/02/01","05:00","2.3","21","2.7","12.6","1022.9","-","-"
"2025/02/01","06:00","1.8","14","2.2","12.6","1022.8","-","-"
"2025/02/01","07:00","2.1","9","2.5","12.4","1022.8","-","-"
"2025/02/01","08:00","1.5","36","2","12.2","1022.1","-","-"
"2025/02/01","09:00","2.2","104","2.7","11","1021.7","-","-"
"2025/02/01","10:00","1.6","144","1.8","11.2","1021.1","-","-"
"2025/02/01","11:00","0.2","65","0.5","11.2","1021","-","-"
"2025/02/01","12:00","0.2","190","0.8","10.7","1021","-","-"
"2025/02/01","13:00","1.5","91","2.1","10.5","1020.4","-","-"
"2025/02/01","14:00","0.4","116","0.6","10.5","1021","-","-"
"2025/02/01","15:00","0.4","87","0.8","10.9","1020.7","-","-"
"2025/02/01","16:00","0.2","173","0.6","13","1021.2","-","-"
"2025/02/01","17:00","0","159","0.4","15.6","1021.3","-","-"
"2025/02/01","18:00","2.2","336","2.8","13","1022.2","-","-"
"2025/02/01","19:00","1.6","325","2.2","13.3","1021.7","-","-"
"2025/02/01","20:00","0.6","24","0.8","14.6","1021","-","-"
"2025/02/01","21:00","2","329","2.2","14","1020.4","-","-"
"2025/02/01","22:00","1.5","341","1.8","14.1","1019.9","-","-"
"2025/02/01","23:00","0.4","353","0.6","15.8","1019.1","-","-"
"2025/02/02","00:00","0","28","0.6","17.8","1018.8","-","-"
"2025/02/02","01:00","1.6","348","1.9","14.5","1018.8","-","-"
"2025/02/02","02:00","2.2","334","2.5","14","1019.2","-","-"
"2025/02/02","03:00","1.4","29","1.7","13.8","1019.4","-","-"
"2025/02/02","04:00","1.7","25","2.1","13.6","1019.8","-","-"
"2025/02/02","05:00","0","140","0","12.9","1019.8","-","-"
"2025/02/02","06:00","0.5","92","0.9","13.2","1019.8","-","-"
"2025/02/02","07:00","0.4","60","0.7","12.8","1019.9","-","-"
"2025/02/02","08:00","0.4","91","0.7","12.7","1019.6","-","-"
"2025/02/02","09:00","0.2","184","0.7","13.2","1019.5","-","-"
"2025/02/02","10:00","0.6","153","1.2","12.3","1019.3","-","-"
"2025/02/02","11:00","0.2","132","0.5","12.9","1019.5","-","-"
"2025/02/02","12:00","0.3","292","1","13","1019.7","-","-"
"2025/02/02","13:00","1.8","5","2.1","13.1","1019.5","-","-"
"2025/02/02","14:00","1.8","9","3.1","11.9","1019.6","-","-"
"2025/02/02","15:00","0.2","354","0.7","11.4","1019.7","-","-"
"2025/02/02","16:00","0.4","13","0.5","11.8","1019.9","-","-"
"2025/02/02","17:00","1","353","1.1","12.9","1020","-","-"
"2025/02/02","18:00","1.8","315","2.6","13.1","1020.3","-","-"
"2025/02/02","19:00","1.3","298","1.8","13.6","1019.9","-","-"
"2025/02/02","20:00","1.5","321","1.8","13.3","1019","-","-"
"2025/02/02","21:00","1.2","323","2.1","12.4","1018.1","-","-"
"2025/02/02","22:00","2.6","355","3","12.8","1017.3","-","-"
"2025/02/02","23:00","3.1","2","3.6","12.4","1016.7","-","-"
"2025/02/03","00:00","2.5","6","2.9","11.8","1016.4","-","-"
"2025/02/03","01:00","2.5","1","3.9","12.8","1016.1","-","-"
"2025/02/03","02:00","3.7","344","4.7","12.1","1016.2","-","-"
"2025/02/03","03:00","2.8","348","3.7","12.1","1016.7","-","-"
"2025/02/03","04:00","4.2","342","4.7","11.9","1016.7","-","-"
"2025/02/03","05:00","2.3","1","3.7","11.7","1016.8","-","-"
"2025/02/03","06:00","4.6","350","5.3","11.8","1016.8","-","-"
"2025/02/03","07:00","3.3","357","4.9","11.5","1016.8","-","-"
"2025/02/03","08:00","2","353","2.6","11.5","1016.4","-","-"
"2025/02/03","09:00","1.6","347","2.1","11.2","1016","-","-"
"2025/02/03","10:00","1.8","310","2.2","10.9","1015.6","-","-"
"2025/02/03","11:00","0.1","296","0.7","10.5","1015.1","-","-"
"2025/02/03","12:00","0.3","219","0.8","10.7","1014.9","-","-"
"2025/02/03","13:00","1.8","316","2.5","10.7","1014.9","-","-"
"2025/02/03","14:00","1.2","35","2.2","10.9","1015.1","-","-"
"2025/02/03","15:00","2.4","360","2.9","11","1015.4","-","-"
"2025/02/03","16:00","2.2","17","2.6","10.3","1015.6","-","-"
"2025/02/03","17:00","1","359","2.2","10.3","1015.6","-","-"
"2025/02/03","18:00","1.4","338","2.2","10.3","1015.9","-","-"
"2025/02/03","19:00","1.5","18","2.4","10.4","1015.1","-","-"
"2025/02/03","20:00","2.1","8","3.2","11","1014.3","-","-"
"2025/02/03","21:00","4.2","343","5.1","11.5","1013.6","-","-"
"2025/02/03","22:00","5.5","339","6.8","11.7","1013","-","-"
"2025/02/03","23:00","5.6","330","7","11.9","1012.7","-","-"
"2025/02/04","00:00","5.4","339","6.1","12.1","1012.4","-","-"
"2025/02/04","01:00","5","331","6.2","12","1012.7","-","-"
"2025/02/04","02:00","3.7","332","4.4","11.8","1013.1","-","-"
"2025/02/04","03:00","1.8","346","2.1","11.8","1013.7","-","-"
"2025/02/04","04:00","2.3","78","3","11.7","1013.6","-","-"
"2025/02/04","05:00","0.6","111","1.2","11.5","1013.9","-","-"
"2025/02/04","06:00","0.9","113","2.3","11.3","1013.9","-","-"
"2025/02/04","07:00","0","8","0.5","11.6","1014.2","-","-"
"2025/02/04","08:00","1","205","2.7","11.6","1014.3","-","-"
"2025/02/04","09:00","3.1","281","3.6","12.1","1015.1","-","-"
"2025/02/04","10:00","0.9","106","1.5","12.3","1014.9","-","-"
"2025/02/04","11:00","2.6","106","4","12.5","1014.6","-","-"
"2025/02/04","12:00","3.7","95","5","12.5","1014.3","-","-"
"2025/02/04","13:00","4.1","96","5.6","11.9","1013.8","-","-"
"2025/02/04","14:00","1.4","150","2.5","11.2","1014.3","-","-"
"2025/02/04","15:00","1","125","1.7","11.4","1014.8","-","-"
"2025/02/04","16:00","0","127","0.2","12.4","1015.9","-","-"
"2025/02/04","17:00","1.2","126","1.6","13.1","1016.6","-","-"
"2025/02/04","18:00","1.3","182","2.1","13.6","1017.3","-","-"
"2025/02/04","19:00","0.5","253","0.8","14.4","1017.2","-","-"
"2025/02/04","20:00","3.5","243","3.9","13.8","1017.2","-","-"
"2025/02/04","21:00","1.7","225","1.9","14.2","1016.4","-","-"
"2025/02/04","22:00","3.3","228","4.2","13.6","1016.3","-","-"
"2025/02/04","23:00","5.1","235","5.4","14.1","1015.9","-","-"
"2025/02/05","00:00","4.2","225","5.2","14.3","1016.1","-","-"
"2025/02/05","01:00","3.8","192","4.8","14.2","1016.1","-","-"
"2025/02/05","02:00","2.1","192","2.7","13.5","1017.2","-","-"
"2025/02/05","03:00","1.9","143","2.4","12.9","1017.7","-","-"
"2025/02/05","04:00","2.8","107","4.2","12.6","1017.6","-","-"
"2025/02/05","05:00","3.7","98","4.4","12.5","1018.1","-","-"
"2025/02/05","06:00","3.3","105","4","12.1","1018.4","-","-"
"2025/02/05","07:00","2.2","110","3.8","11.9","1018.6","-","-"
"2025/02/05","08:00","1.2","129","1.8","12.1","1018.4","-","-"
"2025/02/05","09:00","5.2","90","5.9","12.2","1018.2","-","-"
"2025/02/05","10:00","3.7","96","4.2","11.9","1018.2","-","-"
"2025/02/05","11:00","1.5","343","3.5","12.5","1018.4","-","-"
"2025/02/05","12:00","3.5","99","4.3","12.2","1018.2","-","-"
"2025/02/05","13:00","5.1","99","5.5","12.2","1018.2","-","-"
"2025/02/05","14:00","5.3","95","5.9","12.5","1018.3","-","-"
