"Date","Time (GMT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2025/01/01","00:00","0.8","345","1.4","13.2","1016.9","-","-"
"2025/01/01","01:00","0.8","1","1.2","12.8","1017.1","-","-"
"2025/01/01","02:00","2","360","2.4","12.8","1017.8","-","-"
"2025/01/01","03:00","3.7","3","4.3","12.7","1018.1","-","-"
"2025/01/01","04:00","2.1","350","3.5","12.6","1018","-","-"
"2025/01/01","05:00","2.9","28","3.4","12.3","1018.4","-","-"
"2025/01/01","06:00","2.1","41","2.4","11.8","1018.3","-","-"
"2025/01/01","07:00","1.2","11","3.6","10.9","1018.2","-","-"
"2025/01/01","08:00","2.9","15","3.9","10.9","1018","-","-"
"2025/01/01","09:00","3.1","21","3.8","11.2","1018","-","-"
"2025/01/01","10:00","4.2","15","4.9","10.9","1018.4","-","-"
"2025/01/01","11:00","2.3","2","2.9","10.2","1018.3","-","-"
"2025/01/01","12:00","3.2","7","4.1","10.1","1018.2","-","-"
"2025/01/01","13:00","3.5","351","4.3","10","1018.4","-","-"
"2025/01/01","14:00","3.2","31","4.1","10","1018.8","-","-"
"2025/01/01","15:00","1.6","97","2.9","9.4","1018.7","-","-"
"2025/01/01","16:00","1.4","86","1.9","9","1019.2","-","-"
"2025/01/01","17:00","0","125","1","9.6","1019.9","-","-"
"2025/01/01","18:00","1.2","330","2.3","9.4","1020.6","-","-"
"2025/01/01","19:00","1.2","1","2","9.9","1019.8","-","-"
"2025/01/01","20:00","0.9","314","2","10.2","1019.2","-","-"
"2025/01/01","21:00","0","353","1.3","12","1018.8","-","-"
"2025/01/01","22:00","1.5","347","3.4","11.7","1018.4","-","-"
"2025/01/01","23:00","3.7","347","4.2","12.3","1018.6","-","-"
"2025/01/02","00:00","2.4","1","3.4","12.5","1018.4","-","-"
"2025/01/02","01:00","1.5","10","1.7","12.6","1018.5","-","-"
"2025/01/02","02:00","0.2","107","1.3","12.4","1018.6","-","-"
"2025/01/02","03:00","0.6","89","0.9","12.1","1018.9","-","-"
"2025/01/02","04:00","0.5","27","0.7","12","1019","-","-"
"2025/01/02","05:00","1.1","11","1.4","12.3","1019.1","-","-"
"2025/01/02","06:00","1.4","29","1.6","12.4","1019","-","-"
"2025/01/02","07:00","0.6","51","0.7","11.6","1018.7","-","-"
"2025/01/02","08:00","0.6","165","0.8","11.4","1018.6","-","-"
"2025/01/02","09:00","0.6","40","0.9","11.5","1018.8","-","-"
"2025/01/02","10:00","0.7","141","0.9","11.4","1019.1","-","-"
"2025/01/02","11:00","0.7","82","0.9","11.2","1019.1","-","-"
"2025/01/02","12:00","2","23","2.2","11.7","1019.1","-","-"
"2025/01/02","13:00","0.8","68","1.5","11.1","1019","-","-"
"2025/01/02","14:00","1.2","322","1.5","10.5","1019","-","-"
"2025/01/02","15:00","0.6","139","1","10.2","1019.2","-","-"
"2025/01/02","16:00","1","163","1.2","10.8","1019.6","-","-"
"2025/01/02","17:00","0.9","184","1.4","12.7","1020","-","-"
"2025/01/02","18:00","0","18","0.5","15.1","1019.8","-","-"
"2025/01/02","19:00","1.1","340","1.4","13.8","1019","-","-"
"2025/01/02","20:00","1.9","357","2.2","13.3","1017.9","-","-"
"2025/01/02","21:00","1.2","9","1.4","14.3","1016.9","-","-"
"2025/01/02","22:00","2.2","11","2.6","14.3","1016.5","-","-"
"2025/01/02","23:00","1.9","346","2.4","14.4","1017","-","-"
"2025/01/03","00:00","0.6","335","1.1","15.5","1017.3","-","-"
"2025/01/03","01:00","1.4","12","1.6","13.2","1017.7","-","-"
"2025/01/03","02:00","0","92","0","12.8","1018","-","-"
"2025/01/03","03:00","0.4","173","0.7","12.9","1018.3","-","-"
"2025/01/03","04:00","1","97","1.2","13","1018.6","-","-"
"2025/01/03","05:00","1.7","90","2","12.9","1018.6","-","-"
"2025/01/03","06:00","0","47","0","12.4","1018.8","-","-"
"2025/01/03","07:00","0","106","0","12.3","1018.5","-","-"
"2025/01/03","08:00","2.2","7","2.4","12.2","1018.1","-","-"
"2025/01/03","09:00","0.2","31","0.6","11.6","1018.1","-","-"
"2025/01/03","10:00","0.1","148","0.3","11","1017.9","-","-"
"2025/01/03","11:00","0.6","47","1","11.1","1017.5","-","-"
"2025/01/03","12:00","1.3","179","1.4","10.4","1016.9","-","-"
"2025/01/03","13:00","0","147","0","10.5","1016.9","-","-"
"2025/01/03","14:00","0.1","82","0.4","10.2","1017.5","-","-"
"2025/01/03","15:00","0.7","154","2","9.4","1018.5","-","-"
"2025/01/03","16:00","1.9","183","2.3","10.9","1019.2","-","-"
"2025/01/03","17:00","0.2","290","1.5","11.6","1020.2","-","-"
"2025/01/03","18:00","0.2","294","0.6","15.7","1020.2","-","-"
"2025/01/03","19:00","2.8","248","3.6","12.5","1019","-","-"
"2025/01/03","20:00","3.9","235","5.2","12.5","1018.1","-","-"
"2025/01/03","21:00","4.3","249","4.8","12.6","1017.1","-","-"
"2025/01/03","22:00","5.1","262","6","13","1017.9","-","-"
"2025/01/03","23:00","4.5","308","6.2","12.9","1018.4","-","-"
"2025/01/04","00:00","1.6","42","2.8","13.4","1017.7","-","-"
"2025/01/04","01:00","5","106","6.6","13.9","1016.7","-","-"
"2025/01/04","02:00","4.9","196","6","14","1016.9","-","-"
"2025/01/04","03:00","0.4","130","1.3","13.1","1017.3","-","-"
"2025/01/04","04:00","4.3","264","4.7","13.5","1018.8","-","-"
"2025/01/04","05:00","3.2","310","3.8","13.5","1018.9","-","-"
"2025/01/04","06:00","3.5","343","4","13.2","1019.2","-","-"
"2025/01/04","07:00","1.8","185","2","12.2","1018.9","-","-"
"2025/01/04","08:00","2.5","89","2.9","12.3","1018.7","-","-"
"2025/01/04","09:00","0.8","127","1.4","12.5","1018.9","-","-"
"2025/01/04","10:00","3.6","95","4.4","11.5","1018.3","-","-"
"2025/01/04","11:00","5.1","87","5.7","11.3","1018.6","-","-"
"2025/01/04","12:00","5.2","93","5.9","11","1018.5","-","-"
"2025/01/04","13:00","4.9","86","6.1","10.6","1018.2","-","-"
"2025/01/04","14:00","4.9","90","6","10.9","1018.7","-","-"
"2025/01/04","15:00","4.5","82","5.2","11","1019.5","-","-"
"2025/01/04","16:00","4.8","93","5.4","11.6","1019.7","-","-"
"2025/01/04","17:00","3","102","5.2","13","1020.2","-","-"
"2025/01/04","18:00","0.7","295","1.1","16.6","1020.5","-","-"
"2025/01/04","19:00","3.4","320","4.1","13.4","1020.5","-","-"
"2025/01/04","20:00","2.7","322","3.3","13.7","1019.1","-","-"
"2025/01/04","21:00","2.7","311","3.4","14","1018.6","-","-"
