"Date","Time (GMT)","Wind Speed (m/s)","Wind Dir (deg)","Wind Gust (m/s)","Air Temp (°C)","Baro (mb)","Humidity (%)","Visibility (km)"
"2025/05/01","00:00","2.4","256","4.2","15","1014.6","-","-"
"2025/05/01","01:00","2.1","308","2.9","15","1014.3","-","-"
"2025/05/01","02:00","3.4","264","4.1","14.7","1014.3","-","-"
"2025/05/01","03:00","1.8","279","3.1","14.6","1014.3","-","-"
"2025/05/01","04:00","0.8","314","1.6","14.4","1014.9","-","-"
"2025/05/01","05:00","0","23","0.1","14.5","1015.2","-","-"
"2025/05/01","06:00","0.7","229","2","14.7","1015.4","-","-"
"2025/05/01","07:00","0.8","268","1.1","14.8","1015.2","-","-"
"2025/05/01","08:00","2.9","169","3.8","14.6","1015.1","-","-"
"2025/05/01","09:00","1.5","198","1.9","14.7","1014.5","-","-"
"2025/05/01","10:00","1.5","178","2","14.8","1014.2","-","-"
"2025/05/01","11:00","3","185","3.8","14.7","1014.1","-","-"
"2025/05/01","12:00","1.3","159","1.6","14.8","1014","-","-"
"2025/05/01","13:00","0.4","173","0.7","14.7","1014","-","-"
"2025/05/01","14:00","1.1","201","1.5","14.9","1014.3","-","-"
"2025/05/01","15:00","1.9","177","2.9","15.1","1014.7","-","-"
"2025/05/01","16:00","0.5","204","0.8","16.4","1014.6","-","-"
"2025/05/01","17:00","2.2","248","3.4","15.7","1014.8","-","-"
"2025/05/01","18:00","4.5","231","5","15.1","1015.2","-","-"
"2025/05/01","19:00","4.8","230","5.3","15","1015.2","-","-"
"2025/05/01","20:00","5.3","237","5.9","15.3","1014.7","-","-"
"2025/05/01","21:00","4.1","239","4.9","15.2","1014.6","-","-"
"2025/05/01","22:00","3.8","232","4.6","15.4","1014.2","-","-"
"2025/05/01","23:00","3.4","232","3.9","15.5","1013.8","-","-"
"2025/05/02","00:00","3","241","3.6","15.9","1013.4","-","-"
"2025/05/02","01:00","2.8","248","3.4","15.5","1013.4","-","-"
"2025/05/02","02:00","2.6","253","2.9","15.4","1013.5","-","-"
"2025/05/02","03:00","2","282","2.9","15.5","1014.2","-","-"
"2025/05/02","04:00","1.1","325","1.6","15.6","1014.5","-","-"
"2025/05/02","05:00","1.3","259","2.1","15.6","1014.5","-","-"
